,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.106,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,0.616,190185,0.432,2dLLR6qlu5UJ5gk0dKz0h3,0.0,7,0.132,-9.546,1,0.133,84.778,4,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,audio_features,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.302
17,0.202,https://api.spotify.com/v1/audio-analysis/2Oehrcv4Kov0SuIgWyQY9e,0.327,175200,0.71,2Oehrcv4Kov0SuIgWyQY9e,9e-05,3,0.28,-2.928,1,0.0547,179.561,4,https://api.spotify.com/v1/tracks/2Oehrcv4Kov0SuIgWyQY9e,audio_features,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,0.416
18,0.000532,https://api.spotify.com/v1/audio-analysis/4WiiRw2PHMNQE0ad6y6GdD,0.614,224674,0.938,4WiiRw2PHMNQE0ad6y6GdD,0.0,11,0.368,-4.461,1,0.0611,100.058,4,https://api.spotify.com/v1/tracks/4WiiRw2PHMNQE0ad6y6GdD,audio_features,spotify:track:4WiiRw2PHMNQE0ad6y6GdD,0.607
19,0.000972,https://api.spotify.com/v1/audio-analysis/7EOYLyD4pP4YJVgoVeKUQ1,0.707,206413,0.924,7EOYLyD4pP4YJVgoVeKUQ1,0.00703,7,0.204,-2.842,1,0.031,127.937,4,https://api.spotify.com/v1/tracks/7EOYLyD4pP4YJVgoVeKUQ1,audio_features,spotify:track:7EOYLyD4pP4YJVgoVeKUQ1,0.919
20,0.197,https://api.spotify.com/v1/audio-analysis/0lsqtZVyovtBSQtWdD44LH,0.573,212560,0.929,0lsqtZVyovtBSQtWdD44LH,0.000112,8,0.0567,-3.942,0,0.109,127.934,4,https://api.spotify.com/v1/tracks/0lsqtZVyovtBSQtWdD44LH,audio_features,spotify:track:0lsqtZVyovtBSQtWdD44LH,0.582
21,0.109,https://api.spotify.com/v1/audio-analysis/2QtJA4gbwe1AcanB2p21aP,0.596,217347,0.738,2QtJA4gbwe1AcanB2p21aP,0.0,8,0.0947,-3.109,1,0.0411,127.961,4,https://api.spotify.com/v1/tracks/2QtJA4gbwe1AcanB2p21aP,audio_features,spotify:track:2QtJA4gbwe1AcanB2p21aP,0.461
22,0.00666,https://api.spotify.com/v1/audio-analysis/0VffaI2jwQknRrxpECYHsF,0.723,410097,0.806,0VffaI2jwQknRrxpECYHsF,0.876,0,0.276,-4.989,1,0.0521,124.976,4,https://api.spotify.com/v1/tracks/0VffaI2jwQknRrxpECYHsF,audio_features,spotify:track:0VffaI2jwQknRrxpECYHsF,0.539
23,0.202,https://api.spotify.com/v1/audio-analysis/2Oehrcv4Kov0SuIgWyQY9e,0.327,175200,0.71,2Oehrcv4Kov0SuIgWyQY9e,9e-05,3,0.28,-2.928,1,0.0547,179.561,4,https://api.spotify.com/v1/tracks/2Oehrcv4Kov0SuIgWyQY9e,audio_features,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,0.416
24,0.000478,https://api.spotify.com/v1/audio-analysis/6cMswWRv4lAU3mh5lclgCc,0.612,216253,0.89,6cMswWRv4lAU3mh5lclgCc,0.0,10,0.0672,-2.827,0,0.047,118.989,4,https://api.spotify.com/v1/tracks/6cMswWRv4lAU3mh5lclgCc,audio_features,spotify:track:6cMswWRv4lAU3mh5lclgCc,0.886
25,0.00166,https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX,0.423,206520,0.94,6GIrIt2M39wEGwjCQjGChX,0.0,1,0.178,-4.012,0,0.0635,149.934,4,https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX,audio_features,spotify:track:6GIrIt2M39wEGwjCQjGChX,0.505
26,0.508,https://api.spotify.com/v1/audio-analysis/5Mw9bXG1dLNhbjofkVS2oR,0.262,536000,0.361,5Mw9bXG1dLNhbjofkVS2oR,0.00268,2,0.108,-10.191,1,0.0333,126.86,4,https://api.spotify.com/v1/tracks/5Mw9bXG1dLNhbjofkVS2oR,audio_features,spotify:track:5Mw9bXG1dLNhbjofkVS2oR,0.056
27,5.63e-05,https://api.spotify.com/v1/audio-analysis/25nzKGDiua1lE9Qo5V19GL,0.579,246600,0.865,25nzKGDiua1lE9Qo5V19GL,0.000221,6,0.649,-4.692,1,0.0302,104.99,4,https://api.spotify.com/v1/tracks/25nzKGDiua1lE9Qo5V19GL,audio_features,spotify:track:25nzKGDiua1lE9Qo5V19GL,0.358
28,0.000691,https://api.spotify.com/v1/audio-analysis/5i17G48swlxfwtQKeq5xcF,0.466,184853,0.9,5i17G48swlxfwtQKeq5xcF,0.0,0,0.55,-5.25,1,0.0458,127.914,4,https://api.spotify.com/v1/tracks/5i17G48swlxfwtQKeq5xcF,audio_features,spotify:track:5i17G48swlxfwtQKeq5xcF,0.282
29,0.00338,https://api.spotify.com/v1/audio-analysis/2gcB65AIGic7ixh4VoPAdg,0.557,200267,0.884,2gcB65AIGic7ixh4VoPAdg,0.000899,9,0.684,-6.511,0,0.0358,125.015,4,https://api.spotify.com/v1/tracks/2gcB65AIGic7ixh4VoPAdg,audio_features,spotify:track:2gcB65AIGic7ixh4VoPAdg,0.562
30,0.235,https://api.spotify.com/v1/audio-analysis/32nbCYpbE2XhXTNiXsXV9o,0.539,202067,0.626,32nbCYpbE2XhXTNiXsXV9o,2.47e-05,6,0.252,-5.876,1,0.045,130.191,4,https://api.spotify.com/v1/tracks/32nbCYpbE2XhXTNiXsXV9o,audio_features,spotify:track:32nbCYpbE2XhXTNiXsXV9o,0.549
31,0.0701,https://api.spotify.com/v1/audio-analysis/5RoIXwyTCdyUjpMMkk4uPd,0.531,230800,0.821,5RoIXwyTCdyUjpMMkk4uPd,0.171,2,0.124,-6.812,1,0.0439,129.139,4,https://api.spotify.com/v1/tracks/5RoIXwyTCdyUjpMMkk4uPd,audio_features,spotify:track:5RoIXwyTCdyUjpMMkk4uPd,0.34
32,0.00269,https://api.spotify.com/v1/audio-analysis/18wytWVCb4uleDcCtRxfYd,0.422,255227,0.967,18wytWVCb4uleDcCtRxfYd,1.59e-05,11,0.31,-4.327,1,0.113,94.921,4,https://api.spotify.com/v1/tracks/18wytWVCb4uleDcCtRxfYd,audio_features,spotify:track:18wytWVCb4uleDcCtRxfYd,0.322
0,0.00543,https://api.spotify.com/v1/audio-analysis/2BaXRCVgn621xHOGoFSuW5,0.622,204773,0.808,2BaXRCVgn621xHOGoFSuW5,5.63e-05,5,0.215,-4.701,1,0.0418,122.121,4,https://api.spotify.com/v1/tracks/2BaXRCVgn621xHOGoFSuW5,audio_features,spotify:track:2BaXRCVgn621xHOGoFSuW5,0.599
1,0.0368,https://api.spotify.com/v1/audio-analysis/0nnxf8p851ZR49KFnGWVsB,0.743,235760,0.981,0nnxf8p851ZR49KFnGWVsB,1.17e-06,5,0.178,-4.347,0,0.0899,93.003,4,https://api.spotify.com/v1/tracks/0nnxf8p851ZR49KFnGWVsB,audio_features,spotify:track:0nnxf8p851ZR49KFnGWVsB,0.95
2,0.081,https://api.spotify.com/v1/audio-analysis/7aAR2TeWi6bnYeatkyYT0n,0.57,196933,0.856,7aAR2TeWi6bnYeatkyYT0n,6.75e-05,0,0.168,-5.924,1,0.0656,97.186,4,https://api.spotify.com/v1/tracks/7aAR2TeWi6bnYeatkyYT0n,audio_features,spotify:track:7aAR2TeWi6bnYeatkyYT0n,0.429
3,0.00526,https://api.spotify.com/v1/audio-analysis/38vzESfLhHl3rwCZYvg0eM,0.569,231893,0.9,38vzESfLhHl3rwCZYvg0eM,2.96e-06,11,0.127,-3.991,1,0.0562,137.964,4,https://api.spotify.com/v1/tracks/38vzESfLhHl3rwCZYvg0eM,audio_features,spotify:track:38vzESfLhHl3rwCZYvg0eM,0.949
4,0.162,https://api.spotify.com/v1/audio-analysis/2dEJE18eoskLm4bjSW6kmY,0.737,213539,0.502,2dEJE18eoskLm4bjSW6kmY,3.71e-06,9,0.181,-7.871,1,0.0355,96.067,4,https://api.spotify.com/v1/tracks/2dEJE18eoskLm4bjSW6kmY,audio_features,spotify:track:2dEJE18eoskLm4bjSW6kmY,0.582
5,0.164,https://api.spotify.com/v1/audio-analysis/5RsUlxLto4NZbhJpqJbHfN,0.727,194120,0.832,5RsUlxLto4NZbhJpqJbHfN,0.0,2,0.105,-5.851,1,0.05,131.703,4,https://api.spotify.com/v1/tracks/5RsUlxLto4NZbhJpqJbHfN,audio_features,spotify:track:5RsUlxLto4NZbhJpqJbHfN,0.822
6,0.127,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,0.5,250987,0.748,4bHsxqR3GMrXTxEPLuK5ue,0.0,4,0.447,-9.072,1,0.0363,118.852,4,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,audio_features,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.514
7,0.0021,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,0.774,197987,0.75,27L8sESb3KR79asDUBu8nW,1.85e-05,11,0.0808,-4.927,0,0.0413,118.015,4,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,audio_features,spotify:track:27L8sESb3KR79asDUBu8nW,0.925
8,0.0206,https://api.spotify.com/v1/audio-analysis/7vFv0yFGMJW3qVXbAd9BK9,0.647,249627,0.729,7vFv0yFGMJW3qVXbAd9BK9,0.0489,5,0.134,-6.251,1,0.0236,94.01,4,https://api.spotify.com/v1/tracks/7vFv0yFGMJW3qVXbAd9BK9,audio_features,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,0.687
9,0.00854,https://api.spotify.com/v1/audio-analysis/1C0pmryC2MdXfa7MZ9uIrU,0.702,169760,0.898,1C0pmryC2MdXfa7MZ9uIrU,0.000154,9,0.0917,-6.003,1,0.0373,112.845,4,https://api.spotify.com/v1/tracks/1C0pmryC2MdXfa7MZ9uIrU,audio_features,spotify:track:1C0pmryC2MdXfa7MZ9uIrU,0.731
10,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
11,0.272,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,0.62,231333,0.574,0ikz6tENMONtK6qGkOrU3c,0.0,0,0.0607,-11.893,1,0.0421,81.548,4,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,audio_features,spotify:track:0ikz6tENMONtK6qGkOrU3c,0.9
12,0.456,https://api.spotify.com/v1/audio-analysis/0qt5f5EL92o8Snzopsv0en,0.705,218228,0.78,0qt5f5EL92o8Snzopsv0en,0.00152,7,0.115,-6.267,1,0.0805,142.028,4,https://api.spotify.com/v1/tracks/0qt5f5EL92o8Snzopsv0en,audio_features,spotify:track:0qt5f5EL92o8Snzopsv0en,0.457
13,0.00701,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,0.578,199080,0.866,4kbj5MwxO1bq9wjT5g9HaA,0.0,1,0.257,-3.804,1,0.0619,128.038,4,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,audio_features,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,0.619
14,0.00144,https://api.spotify.com/v1/audio-analysis/64ybTt8CKxPdeXBNnu08Op,0.581,183893,0.968,64ybTt8CKxPdeXBNnu08Op,0.0238,1,0.161,-2.92,1,0.0373,120.004,4,https://api.spotify.com/v1/tracks/64ybTt8CKxPdeXBNnu08Op,audio_features,spotify:track:64ybTt8CKxPdeXBNnu08Op,0.905
15,0.00172,https://api.spotify.com/v1/audio-analysis/6RqiiH9J7pNg8jDM1umQtx,0.574,184147,0.872,6RqiiH9J7pNg8jDM1umQtx,5.69e-05,6,0.221,-4.445,1,0.0342,100.007,4,https://api.spotify.com/v1/tracks/6RqiiH9J7pNg8jDM1umQtx,audio_features,spotify:track:6RqiiH9J7pNg8jDM1umQtx,0.749
16,0.0625,https://api.spotify.com/v1/audio-analysis/5j9iuo3tMmQIfnEEQOOjxh,0.67,194240,0.905,5j9iuo3tMmQIfnEEQOOjxh,0.000151,2,0.0577,-2.385,1,0.0339,100.021,4,https://api.spotify.com/v1/tracks/5j9iuo3tMmQIfnEEQOOjxh,audio_features,spotify:track:5j9iuo3tMmQIfnEEQOOjxh,0.516
17,0.375,https://api.spotify.com/v1/audio-analysis/3cU2wBxuV6nFiuf6PJZNlC,0.655,184227,0.782,3cU2wBxuV6nFiuf6PJZNlC,0.0,1,0.317,-4.789,1,0.185,79.427,4,https://api.spotify.com/v1/tracks/3cU2wBxuV6nFiuf6PJZNlC,audio_features,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,0.832
18,0.00537,https://api.spotify.com/v1/audio-analysis/19RevBdb9MKUaBIvxSbGd4,0.58,239999,0.846,19RevBdb9MKUaBIvxSbGd4,6.62e-06,9,0.145,-2.876,0,0.0573,129.998,4,https://api.spotify.com/v1/tracks/19RevBdb9MKUaBIvxSbGd4,audio_features,spotify:track:19RevBdb9MKUaBIvxSbGd4,0.366
19,0.0549,https://api.spotify.com/v1/audio-analysis/37f4ITSlgPX81ad2EvmVQr,0.564,204013,0.714,37f4ITSlgPX81ad2EvmVQr,0.0,7,0.155,-4.987,1,0.129,175.924,4,https://api.spotify.com/v1/tracks/37f4ITSlgPX81ad2EvmVQr,audio_features,spotify:track:37f4ITSlgPX81ad2EvmVQr,0.33
20,0.0137,https://api.spotify.com/v1/audio-analysis/7FC9Lng8iXU081lbigu8m8,0.49,198733,0.798,7FC9Lng8iXU081lbigu8m8,0.0,6,0.0627,-3.66,1,0.0489,149.109,4,https://api.spotify.com/v1/tracks/7FC9Lng8iXU081lbigu8m8,audio_features,spotify:track:7FC9Lng8iXU081lbigu8m8,0.479
21,0.0217,https://api.spotify.com/v1/audio-analysis/17dtO7OkVT3fpzGAaghHH5,0.802,196240,0.637,17dtO7OkVT3fpzGAaghHH5,0.0,9,0.0473,-6.847,1,0.0609,105.018,4,https://api.spotify.com/v1/tracks/17dtO7OkVT3fpzGAaghHH5,audio_features,spotify:track:17dtO7OkVT3fpzGAaghHH5,0.833
22,0.166,https://api.spotify.com/v1/audio-analysis/7vFoFDWqTX0mHzLfrF1Cfy,0.782,180566,0.685,7vFoFDWqTX0mHzLfrF1Cfy,1.18e-05,4,0.16,-6.237,1,0.0309,118.016,4,https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy,audio_features,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy,0.603
23,0.00219,https://api.spotify.com/v1/audio-analysis/09aDV0TC2RfWFU5IwZfIdG,0.704,208773,0.869,09aDV0TC2RfWFU5IwZfIdG,0.000117,11,0.127,-5.708,0,0.0442,110.015,4,https://api.spotify.com/v1/tracks/09aDV0TC2RfWFU5IwZfIdG,audio_features,spotify:track:09aDV0TC2RfWFU5IwZfIdG,0.8
24,0.166,https://api.spotify.com/v1/audio-analysis/7vFoFDWqTX0mHzLfrF1Cfy,0.782,180566,0.685,7vFoFDWqTX0mHzLfrF1Cfy,1.18e-05,4,0.16,-6.237,1,0.0309,118.016,4,https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy,audio_features,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy,0.603
25,0.22,https://api.spotify.com/v1/audio-analysis/4y1LsJpmMti1PfRQV9AWWe,0.71,238267,0.799,4y1LsJpmMti1PfRQV9AWWe,0.000602,6,0.349,-4.897,1,0.0328,120.372,4,https://api.spotify.com/v1/tracks/4y1LsJpmMti1PfRQV9AWWe,audio_features,spotify:track:4y1LsJpmMti1PfRQV9AWWe,0.725
